x1,y
60001,1.3309360359173688e+18
60002,1.3309360359173606e+18
60003,1.3309360359173704e+18
60004,1.330936035917363e+18
60005,1.3309360359173624e+18
60006,1.3309360359173676e+18
60007,1.3309360359173747e+18
60008,1.330936035917366e+18
60009,1.3309360359173716e+18
60010,1.3309360359173647e+18
60011,1.3309360359173617e+18
60012,1.3309360359173573e+18
60013,1.3309360359173594e+18
60014,1.3309360359173606e+18
60015,1.3309360359173586e+18
60016,1.330936035917353e+18
60017,1.3309360359173594e+18
60018,1.3309360359173578e+18
60019,1.3309360359173558e+18
60020,1.3309360359173686e+18
60021,1.3309360359173573e+18
60022,1.3309360359173676e+18
60023,1.3309360359173676e+18
60024,1.3309360359173614e+18
60025,1.3309360359173714e+18
60026,1.330936035917368e+18
60027,1.3309360359173642e+18
60028,1.3309360359173647e+18
60029,1.3309360359173573e+18
60030,1.330936035917356e+18
60031,1.3309360359173612e+18
60032,1.3309360359173663e+18
60033,1.3309360359173706e+18
60034,1.3309360359173637e+18
60035,1.330936035917372e+18
60036,1.3309360359173573e+18
60037,1.330936035917364e+18
60038,1.3309360359173688e+18
60039,1.330936035917371e+18
60040,1.3309360359173583e+18
60041,1.3309360359173624e+18
60042,1.330936035917365e+18
60043,1.3309360359173676e+18
60044,1.330936035917363e+18
60045,1.3309360359173588e+18
60046,1.3309360359173614e+18
60047,1.3309360359173658e+18
60048,1.3309360359173693e+18
60049,1.3309360359173655e+18
60050,1.33093603591736e+18
60051,1.3309360359173578e+18
60052,1.3309360359173627e+18
60053,1.3309360359173617e+18
60054,1.3309360359173624e+18
60055,1.3309360359173645e+18
60056,1.3309360359173711e+18
60057,1.330936035917365e+18
60058,1.3309360359173594e+18
60059,1.3309360359173676e+18
60060,1.3309360359173663e+18
60061,1.330936035917369e+18
60062,1.3309360359173704e+18
60063,1.3309360359173642e+18
60064,1.330936035917359e+18
60065,1.3309360359173622e+18
60066,1.330936035917358e+18
60067,1.3309360359173647e+18
60068,1.330936035917357e+18
60069,1.3309360359173676e+18
60070,1.3309360359173596e+18
60071,1.330936035917366e+18
60072,1.3309360359173647e+18
60073,1.3309360359173606e+18
