x1,y
60001,7668.137
60002,4344.907
60003,20413.121
60004,6515.2446
60005,4358.9434
60006,11367.774
60007,3275.605
60008,7440.0723
60009,19399.055
60010,9032.305
60011,2382.7844
60012,2733.518
60013,3620.9116
60014,3986.5996
60015,7866.1562
60016,1436.4413
60017,2785.5532
60018,2878.4204
60019,2141.4905
60020,9218.692
60021,2249.5002
60022,6895.48
60023,14641.8955
60024,3119.8096
60025,10872.808
60026,12613.7705
60027,10571.134
60028,13357.379
60029,1591.8392
60030,1760.803
60031,2321.5898
60032,6959.4814
60033,20066.574
60034,7609.9756
60035,9640.726
60036,2079.0935
60037,11668.037
60038,9389.968
60039,11666.845
60040,2785.5532
60041,4239.102
60042,3930.169
60043,2860.2778
60044,3820.422
60045,3085.4084
60046,3405.6482
60047,7970.3135
60048,9939.013
60049,9566.199
60050,4957.819
60051,1778.947
60052,1647.9098
60053,5419.9536
60054,4517.3584
60055,6154.4756
60056,22815.127
60057,6640.3237
60058,3860.5027
60059,8218.442
60060,20077.89
60061,8732.391
60062,16159.646
60063,4358.9434
60064,3152.476
60065,8160.482
60066,2344.5422
60067,4307.9634
60068,2335.89
60069,9753.865
60070,1892.086
60071,7249.255
60072,5436.788
60073,3379.714
60074,17033.475
60075,12281.243
60076,2042.4193
60077,12247.088
60078,7963.853
60079,7702.466
60080,2120.1946
60081,4054.4539
60082,3543.209
60083,5723.861
60084,2232.0571
60085,3075.1003
60086,7947.92
60087,1801.7616
60088,1567.3398
60089,1741.2548
60090,11367.774
60091,2751.5967
60092,2738.249
60093,11303.948
60094,16986.441
60095,11633.148
60096,12314.93
60097,2727.8093
60098,3420.6804
60099,12836.624
60100,4818.6924
60101,11074.02
60102,16057.734
60103,3207.5664
60104,18361.203
60105,2667.6125
60106,9031.101
60107,5568.446
60108,8715.957
60109,6847.484
60110,12493.474
60111,7961.7974
60112,6243.555
60113,14460.593
60114,8546.773
60115,17606.773
60116,15934.146
60117,8191.0996
60118,9965.085
60119,2262.4404
60120,4878.4253
60121,12463.114
60122,15104.164
60123,11304.028
60124,2271.6965
60125,6913.0737
60126,7442.293
60127,2437.598
60128,1658.5631
60129,5170.912
60130,7970.3135
60131,4968.862
60132,3810.9604
60133,8529.453
60134,4732.6245
60135,4280.1978
60136,2878.4204
60137,11748.103
60138,4254.9946
60139,10922.6455
60140,7960.618
60141,12980.3
60142,18790.24
60143,12956.836
60144,8482.891
60145,9019.276
60146,17029.256
60147,12249.678
60148,4291.1143
60149,5427.655
60150,9122.341
60151,3754.2124
60152,4366.955
60153,1892.086
60154,20404.611
60155,1846.5353
60156,30803.463
60157,13845.156
60158,8310.77
60159,2544.2498
60160,4468.959
60161,2781.6504
60162,17920.002
60163,6479.886
60164,2277.8164
60165,3540.707
60166,5224.386
60167,3047.002
60168,3288.869
60169,9518.602
60170,6408.131
60171,2262.4404
60172,2558.2039
60173,1590.694
60174,15952.886
60175,5046.886
60176,9978.142
60177,24067.91
60178,2645.5667
60179,2295.4526
60180,5488.412
60181,8169.616
60182,3863.4604
60183,2186.313
60184,5448.352
60185,1926.9998
60186,5575.484
60187,6123.52
60188,3549.6992
60189,1680.9938
60190,8160.482
60191,4818.6924
60192,3245.118
60193,6193.8564
60194,11286.769
60195,1912.9917
60196,16204.48
60197,6221.973
60198,10493.112
60199,6654.941
60200,7256.4707
60201,23049.348
60202,1738.9081
60203,6654.941
60204,2366.8105
60205,2488.1758
60206,12724.721
60207,6872.5356
60208,9007.437
60209,7947.92
60210,8929.672
60211,7149.681
60212,3594.7551
60213,2862.1064
60214,7708.395
60215,3563.9712
60216,7643.5894
60217,6371.0405
60218,10602.12
60219,10834.38
60220,1668.4006
60221,2394.0435
60222,2262.4404
60223,4344.907
60224,2539.82
60225,6843.7646
60226,15939.357
60227,4246.183
60228,15669.329
60229,8860.58
60230,9222.14
60231,7666.343
60232,2071.5225
60233,2331.4128
60234,4886.039
60235,2661.973
60236,1958.1953
60237,12797.302
60238,3393.0764
60239,1703.3918
60240,3803.1873
60241,2959.254
60242,3971.9568
60243,4305.6494
60244,1833.2115
60245,2271.6965
60246,5251.3755
60247,9230.577
60248,4692.4165
60249,10518.667
60250,2309.023
60251,3517.1313
60252,1846.5353
60253,3410.9458
60254,19513.639
60255,2129.5437
60256,8868.121
60257,5893.8213
60258,8838.734
60259,18482.094
60260,5920.2134
60261,19146.506
60262,3750.362
60263,6262.1016
60264,5986.5396
60265,9826.232
60266,9769.537
60267,6734.784
60268,6253.813
60269,2459.0583
60270,2738.4314
60271,17875.324
60272,2088.6394
60273,4143.238
60274,4555.5513
60275,11270.998
60276,2813.066
60277,9651.436
60278,9205.629
60279,7894.2686
60280,7727.5625
60281,15208.422
60282,3074.4402
60283,5824.206
60284,5607.7466
60285,4958.543
60286,3144.751
60287,4529.345
60288,2897.74
60289,7168.315
60290,3277.0195
60291,2992.2695
60292,6193.8564
60293,3752.1401
60294,13687.635
60295,9229.173
60296,8275.998
60297,8441.753
60298,7702.466
60299,19200.139
60300,3398.2175
60301,5420.3022
60302,3479.1917
60303,5595.8296
60304,18449.184
60305,5133.573
60306,4056.191
60307,16757.31
60308,2488.5896
60309,5380.4204
60310,15991.846
60311,19787.264
60312,6814.531
60313,16437.69
60314,8213.675
60315,16993.486
60316,5945.307
60317,2129.5437
60318,1634.5984
60319,4569.495
60320,3207.5664
60321,3346.4612
60322,22600.826
60323,4933.0034
60324,6666.2456
60325,2132.748
60326,1724.4717
60327,2256.8198
60328,2150.0964
60329,16924.436
60330,14201.567
60331,5386.281
60332,5365.841
60333,13830.426
60334,5396.1206
60335,1770.2761
