x1,y
60001,7723.4224
60002,4414.5234
60003,22172.002
60004,6890.6855
60005,4409.6216
60006,11034.411
60007,2186.4783
60008,8307.665
60009,19375.027
60010,8438.592
60011,2471.1
60012,2020.64
60013,3864.5112
60014,4000.3271
60015,8249.443
60016,1438.8772
60017,2641.0835
60018,3011.0566
60019,1771.7117
60020,10343.864
60021,2169.5098
60022,6953.83
60023,13625.55
60024,2823.2124
60025,10857.315
60026,13130.033
60027,9651.8545
60028,12815.091
60029,1643.3619
60030,1768.9028
60031,2018.3014
60032,6289.4473
60033,18438.984
60034,8035.6235
60035,9279.286
60036,1984.78
60037,10663.8125
60038,10431.394
60039,12551.933
60040,2641.0835
60041,4676.087
60042,3028.8684
60043,3891.9688
60044,4140.9917
60045,3229.4792
60046,3382.106
60047,7922.9653
60048,9870.159
60049,9515.517
60050,5508.5806
60051,1738.4877
60052,1545.1962
60053,5327.4355
60054,4122.6934
60055,6541.386
60056,21526.672
60057,6995.695
60058,3550.259
60059,8279.195
60060,18347.549
60061,9637.451
60062,15875.012
60063,4409.6216
60064,3286.2964
60065,7642.3423
60066,2290.824
60067,4173.575
60068,2340.8289
60069,10198.77
60070,1881.2607
60071,6934.6953
60072,5496.5195
60073,3550.3489
60074,16568.41
60075,10896.597
60076,1782.2548
60077,12193.263
60078,7855.726
60079,7619.8667
60080,2022.715
60081,3824.8196
60082,3704.093
60083,4730.3945
60084,2068.6729
60085,2971.917
60086,7875.139
60087,1752.7871
60088,1489.0178
60089,1782.7864
60090,11034.411
60091,2843.9883
60092,2369.129
60093,11049.4
60094,16603.67
60095,12889.753
60096,14214.058
60097,2556.155
60098,1961.0822
60099,11720.373
60100,5027.014
60101,11157.572
60102,16748.521
60103,3132.5042
60104,17955.555
60105,2912.216
60106,9516.047
60107,5492.1826
60108,6316.077
60109,6826.358
60110,12189.339
60111,6363.603
60112,7880.807
60113,15514.156
60114,8448.787
60115,17900.611
60116,16410.121
60117,6880.778
60118,8434.115
60119,2299.3606
60120,4786.895
60121,12843.853
60122,17336.455
60123,11918.689
60124,2368.469
60125,6990.4653
60126,7548.3335
60127,2294.5642
60128,1645.6692
60129,5137.5576
60130,7922.9653
60131,5221.767
60132,3817.4604
60133,8628.158
60134,4588.938
60135,4288.9053
60136,3011.0566
60137,11821.213
60138,4115.2715
60139,11085.204
60140,8272.92
60141,12297.517
60142,19050.541
60143,12693.349
60144,8529.83
60145,8768.352
60146,20555.734
60147,12675.55
60148,4126.4595
60149,5170.8237
60150,9276.889
60151,3959.2979
60152,4206.1924
60153,1881.2607
60154,19886.844
60155,1575.4843
60156,28509.428
60157,13498.489
60158,8011.94
60159,2417.297
60160,4167.0054
60161,2619.9575
60162,16166.397
60163,7208.914
60164,2042.1466
60165,4208.131
60166,5485.57
60167,3398.9373
60168,3280.9783
60169,9570.691
60170,6451.2866
60171,2299.3606
60172,1808.4242
60173,1892.8893
60174,15848.33
60175,4464.018
60176,9353.482
60177,25824.314
60178,2632.014
60179,2241.7576
60180,4743.507
60181,8721.146
60182,3769.7043
60183,1457.2643
60184,5470.988
60185,2039.2892
60186,4898.8003
60187,4303.144
60188,3524.1162
60189,1949.4324
60190,7642.3423
60191,5027.014
60192,2382.9336
60193,6160.2417
60194,11698.178
60195,1875.3693
60196,16879.957
60197,5375.7134
60198,10213.44
60199,6654.2256
60200,7429.4385
60201,22568.295
60202,1879.4286
60203,6654.2256
60204,2201.263
60205,2373.95
60206,12513.356
60207,7026.09
60208,9148.916
60209,7875.139
60210,9858.732
60211,7043.7817
60212,3793.5679
60213,2784.3137
60214,7659.655
60215,3207.0955
60216,6834.429
60217,6962.042
60218,10225.03
60219,10364.426
60220,1627.7438
60221,2231.2666
60222,2299.3606
60223,4414.5234
60224,1898.4194
60225,7000.2017
60226,15829.547
60227,4177.153
60228,18397.182
60229,10955.59
60230,8812.103
60231,7686.328
60232,1984.3906
60233,2086.9287
60234,5953.2935
60235,2067.2517
60236,1903.7854
60237,14443.394
60238,3154.4592
60239,1829.5186
60240,3791.3635
60241,2867.8154
60242,4229.1167
60243,4315.955
60244,1756.3168
60245,2368.469
60246,5227.085
60247,9950.837
60248,3744.1326
60249,10880.221
60250,2373.7415
60251,3594.3071
60252,1575.4843
60253,3323.2085
60254,17987.291
60255,2269.4636
60256,9580.612
60257,5280.347
60258,8742.691
60259,17995.516
60260,6101.508
60261,18077.484
60262,3707.2742
60263,6198.8145
60264,5688.9395
60265,7987.644
60266,9968.446
60267,6436.3857
60268,4683.7437
60269,2557.5361
60270,3177.4358
60271,20230.068
60272,1877.7089
60273,4159.7964
